"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"competition_records","age_group_id","uuid","NULL","null","","age_groups","age_group_id","15","0","","0",""
"competition_records","age_group_id","uuid","NULL","null","","age_groups","age_group_id","15","0","","0",""
"group_members","group_id","uuid","NOT NULL","null","PK","groups","group_id","2","0","","0",""
"group_members","group_id","uuid","NOT NULL","null","PK","groups","group_id","2","0","","0",""
"group_members","group_id","uuid","NOT NULL","null","PK","groups","group_id","2","0","","0",""
"group_members","group_id","uuid","NOT NULL","null","PK","groups","group_id","2","0","","0",""
"group_members","group_id","uuid","NOT NULL","null","PK","groups","group_id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"group_members","user_id","uuid","NOT NULL","null","PK","users","id","2","0","","0",""
"groups","group_id","uuid","NOT NULL","null","PK","null","null","5","0","","0",""
"groups","group_name","text","NULL","null","","null","null","5","0","","0",""
"groups","created_by","uuid","NULL","null","","admins","admin_id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","admins","admin_id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
